CO2_EF,Flue O2,Load,Flue_Gas/Fuel,Exhaust Temp,Operating Pressure,Vaper / Fuel
1779.138217,13.3,0.962,108.5288136,150,7.7,8.152542373
1968.289342,15.9,0.926,122.6964912,150,7.7,8.122807018
1923.555493,10.6,0.926,118.9017544,150,7.7,8.122807018
1923.555493,13.7,0.926,118.9017544,150,7.7,8.122807018
1928.381576,13.4,0.812,118.8215385,150,7.7,7.807692308
1870.817946,11.3,0.812,117.1938462,150,7.7,7.807692308
1870.817946,13.7,0.812,117.1938462,150,7.7,7.807692308
1855.833086,7.3,0.862,116.7782051,150,7.7,8.288461538
1908.110074,16.1,0.862,119.7346154,150,7.7,8.288461538
1908.110074,16.8,0.862,119.7346154,150,7.7,8.288461538
2939.370556,11.3,97.8,184.4465934,155.8,33.7,8.956043956
2939.370556,7.8,97.8,185.5851526,155.8,33.7,8.956043956
2939.370556,7.6,97.8,185.5851526,155.8,33.7,8.956043956
2436.8327,12.9,92.2,151.3647758,160.7,33.6,8.381818182
2436.8327,11.1,92.2,154.7535394,160.7,33.6,8.381818182
2436.8327,8.3,92.2,154.7535394,160.7,33.6,8.381818182
2770.025153,13.4,99.6,176.5450935,165.9,33.1,9.632495164
2770.025153,11.8,99.6,174.0585429,165.9,33.1,9.632495164
2770.025153,6.5,99.6,174.0585429,165.9,33.1,9.632495164
2502.325338,14.5,110,156.0810811,167.9,33.4,8.744038156
2355.12973,6.5,110,155.0405405,167.9,33.4,8.744038156
2355.12973,16,110,155.0405405,167.9,33.4,8.744038156
2542.034171,12.5,95.8,164.2961821,150.2,33.1,8.388791594
2542.034171,5.8,95.8,164.2961821,150.2,33.1,8.388791594
2461.334674,7.2,95.8,165.4371278,150.2,33.1,8.388791594
2557.234789,13.8,107.8,163.9772185,154.1,33.8,8.92384106
2557.234789,13.7,107.8,163.9772185,154.1,33.8,8.92384106
2516.963375,7.7,107.8,165.1159492,154.1,33.8,8.92384106
3255.191567,14.7,91.2,187.7967238,151.6,33.5,8.685714286
3255.191567,13.7,91.2,179.1481905,151.6,33.5,8.685714286
3255.191567,14.7,91.2,179.1481905,151.6,33.5,8.685714286
2077.357911,13.1,88.8,132.1654658,151.2,32.5,9.192546584
2077.357911,6.5,88.8,127.2704486,151.2,32.5,9.192546584
2077.357911,17.4,88.8,127.2704486,151.2,32.5,9.192546584
2058.685943,7.8,85.6,133.6235302,149.2,32.2,8.42519685
2035.291785,12.9,85.6,111.1324409,149.2,32.2,8.42519685
2035.291785,4.7,85.6,111.1324409,149.2,32.2,8.42519685
2626.680193,13.4,97,162.9215611,160.5,32.2,9.309021113
2563.131479,7.2,97,158.1297505,160.5,32.2,9.309021113
2563.131479,13.7,97,158.1297505,160.5,32.2,9.309021113
2783.51845,14.2,86,176.4142276,136,33.3,8.739837398
2807.514298,7,86,179.1282927,136,33.3,8.739837398
2807.514298,14.4,86,179.1282927,136,33.3,8.739837398
2763.10374,15.6,91.6,172.5870669,125.6,33.1,8.592870544
2742.483563,7.6,91.6,172.5870669,125.6,33.1,8.592870544
2742.483563,11.2,91.6,172.5870669,125.6,33.1,8.592870544
2468.312638,8,95,162.432,135.7,33.1,7.916666667
2513.19105,6.2,95,164.97,135.7,33.1,7.916666667
2513.19105,5.8,95,164.97,135.7,33.1,7.916666667
2818.057271,16.8,104.6,182.1360452,154.2,33.9,8.86440678
2818.057271,15.8,104.6,187.8277966,154.2,33.9,8.86440678
2818.057271,6.1,104.6,187.8277966,154.2,33.9,8.86440678
2343.132131,6.6,92.8,148.4518272,150.1,33,8.592592593
2184.574318,6.5,92.8,152.4371111,150.1,33,8.592592593
2184.574318,7.7,92.8,152.4371111,150.1,33,8.592592593
2233.82559,8.6,104,146.8149,155.5,32.9,8.666666667
2253.950145,14.7,104,146.8149,155.5,32.9,8.666666667
2253.950145,14.5,104,146.8149,155.5,32.9,8.666666667
2750.893647,7.2,86,177.2153741,132.7,33.1,8.775510204
2798.735276,14.5,86,171.8042177,132.7,33.1,8.775510204
2798.735276,13.2,86,171.8042177,132.7,33.1,8.775510204
2334.675995,11.6,105.2,148.2826237,155.8,34.4,8.483870968
2334.675995,7.2,105.2,147.2669892,155.8,34.4,8.483870968
2334.675995,14.7,105.2,147.2669892,155.8,34.4,8.483870968
2456.372344,15,94,158.2084571,161.6,34.4,8.952380952
2456.372344,13.8,94,159.4947048,161.6,34.4,8.952380952
2456.372344,14,94,159.4947048,161.6,34.4,8.952380952
2494.894127,14.7,92.2,160.2819408,148.8,33.9,8.714555766
2534.812433,11.2,92.2,163.668179,148.8,33.9,8.714555766
