CO2 EF,Load,Flue Gas / Fuel,Exhaust Temp,Operating Pressure,Vaper / Fuel
3702.760988,0.8125,281.3333333,192,10,17.72727273
3759.479233,0.8125,286.2045455,192,10,17.72727273
3702.760988,0.8125,281.3333333,192,10,17.72727273
4365.438348,0.822916667,312.2277778,184,10,16.45833333
4401.51083,0.822916667,314.8077778,184,10,16.45833333
4365.438348,0.822916667,312.2277778,184,10,16.45833333
2337.742434,0.85,181.503,188.5,6,14.16666667
2381.491125,0.85,188.552,188.5,6,14.16666667
2337.742434,0.85,181.503,188.5,6,14.16666667
4379.057871,0.85,290.6424444,211,8,14.16666667
4355.575393,0.85,292.505,211,8,14.16666667
4379.057871,0.85,290.6424444,211,8,14.16666667
3645.770285,0.84,284.560452,203,8,14.23728814
3675.413097,0.84,293.0413559,203,8,14.23728814
3645.770285,0.84,284.560452,203,8,14.23728814
2577.345209,0.57,183.4097561,151,7,13.90243902
2516.519977,0.57,174.6065041,151,7,13.90243902
2577.345209,0.57,183.4097561,151,7,13.90243902
3364.561755,0.642857143,240.5368268,208,7,11.79039301
3364.561755,0.642857143,240.5368268,208,7,11.79039301
3330.75635,0.642857143,228.852984,180.5,7,11.79039301
3330.75635,0.642857143,228.852984,180.5,7,11.79039301
2268.266609,0.5,171.0357815,181,6.2,11.86440678
2268.266609,0.5,171.0357815,181,6.2,11.86440678
3234.14558,0.595238095,239.9333333,201,6.2,12.5
3234.14558,0.595238095,239.9333333,201,6.2,12.5
3374.020959,0.69047619,203.637931,185,7,12.5
3374.020959,0.69047619,203.637931,185,7,12.5
3133.581521,0.833333333,237.4307692,185,6,11.53846154
3133.581521,0.833333333,237.4307692,185,6,11.53846154
3250.644796,0.869444444,236.83,184,6,12.03846154
3250.644796,0.869444444,236.83,184,6,12.03846154
3193.888219,0.833333333,242.154359,175,6,11.53846154
3193.888219,0.833333333,242.154359,175,6,11.53846154
3312.266747,0.833333333,240.3637681,207,6,13.04347826
3312.266747,0.833333333,240.3637681,207,6,13.04347826
3660.178098,0.625,262.9833333,177,7.8,15
3688.582231,0.625,268.4438333,177,7.8,15
3660.178098,0.625,262.9833333,177,7.8,15
3405.112323,0.572916667,242.2637838,173,7.8,14.86486486
3374.12478,0.572916667,240.7918919,173,7.8,14.86486486
3405.112323,0.572916667,242.2637838,173,7.8,14.86486486
3237.841401,0.572916667,234.0610811,162,7.8,14.86486486
3206.697741,0.572916667,231.8097297,162,7.8,14.86486486
3237.841401,0.572916667,234.0610811,162,7.8,14.86486486
3229.95919,0.594791667,231.902906,180,7.8,14.64102564
3207.258977,0.594791667,234.3487179,180,7.8,14.64102564
3229.95919,0.594791667,231.902906,180,7.8,14.64102564
3302.199654,0.580208333,245.4410811,173,7.8,15.05405405
3198.493657,0.580208333,237.732973,173,7.8,15.05405405
3302.199654,0.580208333,245.4410811,173,7.8,15.05405405
3294.017088,0.801851852,232.857377,186,2.5,14.19672131
2053.160807,0.907407407,141.9146667,176,8.5,14
2071.808361,0.907407407,143.9211429,176,8.5,14
